model,mass_GeV,ctau_m,ctau_min_m,coupling_squared,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,passes_event_cut,N_events_primary,N_events_cascade,N_events_inclusive,N_events_before_ECAL_primary,N_events_before_ECAL_cascade,N_events_before_ECAL_inclusive,valid_mother_samples,samples_passing_ECAL,template_model_seed
ALP-photon-combined,0.3,123.10160189999996,3.0,1.1807300053163281e-14,49.385421457231516,324.77333373612396,0.15206119569335338,True,16.78973373719406,32.59568772003745,,45.84492426159015,278.9284094745338,,1707656,806299,54321
ALP-photon-combined,0.3,209.27272322999994,3.0,6.945470619507812e-15,17.241189103721233,115.02467231187028,0.1498912255709333,True,5.83427767804991,11.406911425671325,,16.044686416277305,98.97998589559297,,1707883,806442,54321
ALP-photon-combined,0.3,272.85824812486476,3.0,5.326932796230548e-15,10.19340808186287,68.19343672100415,0.14947784672543443,True,3.443086745433392,6.7503213364294785,,9.474174826667218,58.719261894336924,,1707976,806844,54321
ALP-photon-combined,0.3,275.1299383379928,3.0,5.282949429053975e-15,10.02131298177423,67.08632981990256,0.14937935953087716,True,3.386646974234787,6.634666007539442,,9.319317366809726,57.76701245309283,,1707978,807109,54321
ALP-photon-combined,0.3,275.4152262204656,3.0,5.2774771046784915e-15,10.000645964482626,66.94916554449057,0.14937670818072812,True,3.379651509809282,6.620994454673345,,9.300138468961556,57.64902707552902,,1707978,807109,54321
ALP-photon-combined,0.3,275.4241462318424,3.0,5.2773061859102615e-15,10.000000806041289,66.9448836540424,0.14937662537019658,True,3.3794331342530035,6.620567671788286,,9.299539762870733,57.64534389117167,,1707978,807109,54321
ALP-photon-combined,0.3,275.43306653211613,3.0,5.277135272677485e-15,9.999355689136326,66.94060203571264,0.14937654256234048,False,3.379214772789886,6.620140916346441,,9.29894109520461,57.64166094050804,,1707978,807109,54321
ALP-photon-combined,0.3,275.45090799939163,3.0,5.276793462817573e-15,9.998065579924857,66.93203961533993,0.14937637695465408,False,3.378778092139496,6.619287487785361,,9.297743875136677,57.63429574020326,,1707978,807109,54321
ALP-photon-combined,0.3,275.48659440111703,3.0,5.276109909515296e-15,9.995485859821141,66.9149180392621,0.14937604577138275,False,3.377904899916712,6.617580959904428,,9.295349895989245,57.619568143272865,,1707978,807109,54321
ALP-photon-combined,0.3,275.5579810753618,3.0,5.274743068540775e-15,9.990328412293557,66.88068794194187,0.1493753835332258,False,3.376159191579807,6.61416922071375,,9.290563781098571,57.590124160843295,,1707978,807109,54321
ALP-photon-combined,0.3,275.7008099238017,3.0,5.272010448790748e-15,9.980021483184348,66.81227993597776,0.1493740595703007,False,3.3726704777151824,6.607351005469167,,9.280998920538748,57.531281015439006,,1707978,807109,54321
ALP-photon-combined,0.3,276.27286602035286,3.0,5.2610941189978324e-15,9.938984509736454,66.53934247794325,0.14937004394101236,False,3.3587515916977964,6.580232918038658,,9.242837550675247,57.29650492726801,,1707978,807110,54321
ALP-photon-combined,0.3,277.4205415818241,3.0,5.239329223317989e-15,9.853187376697665,65.99700008017166,0.14929750389757468,False,3.3310857039937,6.522101672703965,,9.16698347892852,56.830016601243145,,1707980,806727,54321
ALP-photon-combined,0.3,282.0591183167509,3.0,5.153166326734683e-15,9.525151871685768,63.87072701868141,0.14913172773029149,False,3.219319868975658,6.30583200271011,,8.869738834558913,55.00098818412249,,1707984,806610,54321
ALP-photon-combined,0.3,291.57024488853295,3.0,4.985068182159758e-15,8.931122711770135,59.820682626272415,0.149298241338485,False,3.0142404806001943,5.91688223116994,,8.303696548153008,51.51698607811941,,1707992,807030,54321
ALP-photon-combined,0.3,311.5654677422671,3.0,4.665143288153857e-15,7.821787496515775,52.47117936727585,0.14906826167878945,False,2.6400821274467146,5.181705369069061,,7.277633385171328,45.193545982104524,,1708016,806743,54321
ALP-photon-combined,0.3,355.7636294909999,3.0,4.085570952651654e-15,5.999305856777003,40.35761813842185,0.14865361568663676,False,2.027612819363199,3.971693037413804,,5.589302834355176,34.768315304066675,,1708045,807148,54321
ALP-photon-combined,0.3,604.7981701346998,3.0,2.403277030971561e-15,2.082610021434415,14.079714297992567,0.14791564497380078,False,0.7029576538651934,1.3796523675692214,,1.9417909245800085,12.137923373412558,,1708121,807289,54321
ALP-photon-combined,0.3,1000.0,3.0,1.4534975506583546e-15,0.7638370846979533,5.174054696342193,0.1476283359041313,False,0.257038133085437,0.5067989516125163,,0.7118767001702881,4.462177996171905,,1708163,806787,54321
ALP-SU2L,0.4,4.0,4.0,2.8724034500000002e-08,92383.67598159559,136779.42569834623,0.6754208501016727,True,,,92383.67598159559,,,136779.42569834623,610388,444133,64421
ALP-SU2L,0.4,6.8,4.0,1.6896490882352943e-08,33124.03613750037,49193.30302210822,0.6733444209390437,True,,,33124.03613750037,,,49193.30302210822,610790,444326,64421
ALP-SU2L,0.4,11.559999999999999,4.0,9.939112283737027e-09,11720.306393869394,17421.32491333007,0.6727563174544494,True,,,11720.306393869394,,,17421.32491333007,610992,444903,64421
ALP-SU2L,0.4,19.651999999999997,4.0,5.846536637492369e-09,4109.182143217465,6114.83817512362,0.6720017808377066,True,,,4109.182143217465,,,6114.83817512362,611125,445196,64421
ALP-SU2L,0.4,33.40839999999999,4.0,3.4391391985249227e-09,1431.1197499383288,2135.3460269940306,0.6702050777001912,True,,,1431.1197499383288,,,2135.3460269940306,611219,445100,64421
ALP-SU2L,0.4,56.794279999999986,4.0,2.0230230579558372e-09,497.68164038260375,743.3526256848085,0.6695094941302158,True,,,497.68164038260375,,,743.3526256848085,611271,445196,64421
ALP-SU2L,0.4,96.55027599999997,4.0,1.1900135635034336e-09,172.5643409184578,258.2639612929117,0.6681704255389426,True,,,172.5643409184578,,,258.2639612929117,611317,445133,64421
ALP-SU2L,0.4,164.13546919999993,4.0,7.000079785314316e-10,59.804161392750885,89.6234353358937,0.667282627234884,True,,,59.804161392750885,,,89.6234353358937,611331,445191,64421
ALP-SU2L,0.4,279.0302976399999,4.0,4.1176939913613623e-10,20.717721021166913,31.072071807967166,0.6667634250206225,True,,,20.717721021166913,,,31.072071807967166,611338,445333,64421
ALP-SU2L,0.4,363.8109974998197,4.0,3.1581271261613513e-10,12.187960315713136,18.29116015852191,0.6663306323975696,True,,,12.187960315713136,,,18.29116015852191,611341,445295,64421
