profile,benchmark_source,selection_name,panel_label,mass_GeV,ctau_m,model_id,model_label,source,bin_index,energy_low_GeV,energy_high_GeV,bin_probability,density_per_GeV,density_error_per_GeV,bin_N_eff,expected_events,expected_events_before_ECAL,weighted_ECAL_efficiency,total_N_eff,accepted_samples,cache_key
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,23,8.214725835887057,9.486190641175014,0.07825491378802972,0.06154705459606238,0.00034934722219486013,31038.44529895274,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,24,9.486190641175014,10.95445115010332,0.07387468568725422,0.05031442665523699,0.0002702410596398757,34664.29612389506,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,25,10.95445115010332,12.649967151106729,0.06952849092240457,0.041007275001390446,0.00020822081604689895,38785.86959626838,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,26,12.649967151106729,14.607912959890275,0.06333846586853095,0.03234944786744766,0.00015725597322192484,42317.44553003014,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,27,14.607912959890275,16.86890712795732,0.05567276950117348,0.024623137152436293,0.00011683905700835173,44413.058507558904,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,28,16.86890712795732,19.479855094494404,0.048399272645858527,0.018537049863177012,8.633292916225934e-05,46102.904175529824,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,29,19.479855094494404,22.494922262841893,0.041545276027897295,0.013779220729821288,6.366788562614525e-05,46839.09113912584,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,30,22.494922262841893,25.976657688501856,0.034894100829487455,0.010022042620562784,4.612440767163555e-05,47211.835652066795,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,31,25.976657688501856,29.99729169014488,0.028353674938636827,0.0070520407794019925,3.315323993928484e-05,45245.73801524052,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
production,stored_same_lifetime_midpoint,diphoton_ecal,After diphoton ECAL requirement,0.3,44.25045011669211,alp_photon_combined,"ALP-photon, primary + cascade",combined,32,29.99729169014488,34.64023430319652,0.021887256779535864,0.0047140916017374915,2.311876033036425e-05,41578.32111772017,368.4925027417885,2280.4967418337565,0.16158431449697325,357283.49078724755,804667,cbefba2fc5322f6a31f4f5a48d8d340a58eb245391184bf43c4df2c5070be82d
