mass_GeV,photon_lifetime_index,photon_ctau_m,photon_N_events,su2_lifetime_index,su2_ctau_m,su2_N_events,D_TV
0.4,4,8.48759405684903,2194.8309417857754,10,45.028199062631984,790.659682755792,0.8379881287024364
0.4,4,8.48759405684903,2194.8309417857754,11,57.36236333100857,487.89581076918586,0.8379118020515335
0.4,4,8.48759405684903,2194.8309417857754,12,73.07511282744834,300.8949380712456,0.8377265345099223
0.4,4,8.48759405684903,2194.8309417857754,13,93.09191261751351,185.66427257494215,0.8372844340259233
0.4,4,8.48759405684903,2194.8309417857754,14,118.5917319792576,114.44934168406019,0.8375788616275651
0.4,4,8.48759405684903,2194.8309417857754,15,151.07648450220142,70.56248854719546,0.837362613370284
0.4,4,8.48759405684903,2194.8309417857754,16,192.45948927987664,43.512831260563814,0.8372571566054289
0.4,4,8.48759405684903,2194.8309417857754,17,245.17816347077607,26.848559313532153,0.837364939599165
0.4,4,8.48759405684903,2194.8309417857754,18,312.33758370566323,16.530944855505258,0.8373116396544875
0.4,4,8.48759405684903,2194.8309417857754,19,397.89337196303796,10.185993754971243,0.8371728570624878
0.4,5,10.243909952281355,1577.3677518073082,0,4.0,92383.67598159559,0.8465863899578773
0.4,5,10.243909952281355,1577.3677518073082,1,5.095683551653521,58037.14612058649,0.8451710097810058
0.4,5,10.243909952281355,1577.3677518073082,2,6.491497714648063,36278.59240626878,0.843982235391891
0.4,5,10.243909952281355,1577.3677518073082,3,8.269654532532142,22627.898699921483,0.8433537899770904
0.4,5,10.243909952281355,1577.3677518073082,4,10.534885644820253,14058.326548255704,0.8432821118801712
0.4,5,10.243909952281355,1577.3677518073082,5,13.420610874715353,8729.21013367378,0.8427581925261883
0.4,5,10.243909952281355,1577.3677518073082,6,17.096796521857346,5415.905086793296,0.8419103152432073
0.4,5,10.243909952281355,1577.3677518073082,7,21.779966205598896,3349.491902041357,0.8423248935852854
0.4,5,10.243909952281355,1577.3677518073082,8,27.745953887359985,2073.473391193686,0.8412301739811573
0.4,5,10.243909952281355,1577.3677518073082,9,35.34615021218933,1278.915510333941,0.8418315249627627
0.4,5,10.243909952281355,1577.3677518073082,10,45.028199062631984,790.659682755792,0.8416333358969152
0.4,5,10.243909952281355,1577.3677518073082,11,57.36236333100857,487.89581076918586,0.8415570092460123
0.4,5,10.243909952281355,1577.3677518073082,12,73.07511282744834,300.8949380712456,0.8415310590018042
0.4,5,10.243909952281355,1577.3677518073082,13,93.09191261751351,185.66427257494215,0.8409436295041747
0.4,5,10.243909952281355,1577.3677518073082,14,118.5917319792576,114.44934168406019,0.8414258574599438
0.4,5,10.243909952281355,1577.3677518073082,15,151.07648450220142,70.56248854719546,0.8412795103987047
0.4,5,10.243909952281355,1577.3677518073082,16,192.45948927987664,43.512831260563814,0.8414057273482124
0.4,5,10.243909952281355,1577.3677518073082,17,245.17816347077607,26.848559313532153,0.8413426506386257
0.4,5,10.243909952281355,1577.3677518073082,18,312.33758370566323,16.530944855505258,0.8411708359843387
0.4,5,10.243909952281355,1577.3677518073082,19,397.89337196303796,10.185993754971243,0.8410175968469753
0.4,6,12.363655755398659,1124.5588983900093,0,4.0,92383.67598159559,0.8496404143731966
0.4,6,12.363655755398659,1124.5588983900093,1,5.095683551653521,58037.14612058649,0.8482250341963251
0.4,6,12.363655755398659,1124.5588983900093,2,6.491497714648063,36278.59240626878,0.8470362598072105
