mass_GeV,photon_lifetime_index,photon_ctau_m,photon_N_events,su2_lifetime_index,su2_ctau_m,su2_N_events,D_TV
1.0,2,10.36603544813358,17.49944584250791,5,20.159763280511214,494.3998426290012,0.5654443852604766
1.0,2,10.36603544813358,17.49944584250791,6,23.19436642592759,375.38147249909196,0.5659757564636952
1.0,2,10.36603544813358,17.49944584250791,7,26.685761455357454,284.9022484258861,0.5652072320733306
1.0,2,10.36603544813358,17.49944584250791,8,30.702708208325753,216.44223093268712,0.5639700799815599
1.0,2,10.36603544813358,17.49944584250791,9,35.32431678603439,163.63642114923914,0.5638583296768941
1.0,2,10.36603544813358,17.49944584250791,10,40.64160555262483,124.30524428237631,0.5636729994496222
1.0,2,10.36603544813358,17.49944584250791,11,46.75929365881369,94.1221596565948,0.5636388450124029
1.0,2,10.36603544813358,17.49944584250791,12,53.79786339001967,71.28626479956012,0.5632848437896001
1.0,2,10.36603544813358,17.49944584250791,13,61.895932955045545,53.92215775429876,0.5630018351688322
1.0,2,10.36603544813358,17.49944584250791,14,71.21298644522419,40.81591000600566,0.5621011044631785
1.0,2,10.36603544813358,17.49944584250791,15,81.93251472808262,30.854652345020813,0.5617301585302045
1.0,2,10.36603544813358,17.49944584250791,16,94.26562913255931,23.336583240384698,0.5623401848484691
1.0,2,10.36603544813358,17.49944584250791,17,108.4552190940077,17.66881653401165,0.5618318563502449
1.0,2,10.36603544813358,17.49944584250791,18,124.78073564001106,13.368264416402367,0.5624090412086115
1.0,2,10.36603544813358,17.49944584250791,19,143.5636949233974,10.116971194940728,0.5607717998228817
1.0,3,10.554047257150385,16.928564616670585,0,10.000000000000002,1921.6810815874742,0.5728203953761307
1.0,3,10.554047257150385,16.928564616670585,1,11.505277171756266,1468.8995706815508,0.5715202613722481
1.0,3,10.554047257150385,16.928564616670585,2,13.237140279893586,1120.3334380425877,0.5699618376196928
1.0,3,10.554047257150385,16.928564616670585,3,15.229696788159503,854.3708894711252,0.5690552877005298
1.0,3,10.554047257150385,16.928564616670585,4,17.522188278958126,650.2591289941049,0.5679374021266359
