"m_S [GeV]","K","K_star(892)","K_star(1410)","K_star(1680)","K_1(1270)","K_1(1400)","K_0star(800)","K_0star(1430)","K_2(1430)","Pi"
0.51,0.42848107590764783,0.47371959714035194,0.20467687176864716,0.12904224018767096,0.9081862718992709,0.015010017540945612,0.7414560613703299,0.08932081688128725,0.2981057673789098,0.012375713557140202
0.53,0.42862194613762844,0.473721287964224,0.2043756645826894,0.1288028395354025,0.9079095040523386,0.0149372301599566,0.7414974274592171,0.08968655215496417,0.29769069609716337,0.012380015488837359
0.55,0.4287682779639688,0.47372280135657224,0.2040628168947361,0.1285542032358075,0.907620482771857,0.01486171079528846,0.7415387661288929,0.09006840154927138,0.2972588410399371,0.012384484934584302
0.5700000000000001,0.42892007614400546,0.4737241087476212,0.20373832239061915,0.1282963282292007,0.9073190209062579,0.01478346805467718,0.7415798875716375,0.09046660978216557,0.29681010989013834,0.012389122125287947
0.59,0.42907734557891014,0.473725180296566,0.2034021745192733,0.12802921136256604,0.9070049234208846,0.014702511046704617,0.7416205937189458,0.0908814330991768,0.2963444070095875,0.012393927300063994
0.61,0.42924009130985585,0.47372598486697237,0.20305436649251785,0.12775284939201723,0.9066779872902281,0.014618849401606519,0.7416606781047026,0.09131313955917245,0.2958616334532772,0.012398900706194482
0.63,0.42940831851398203,0.47372649000104766,0.2026948912848487,0.12746723898539997,0.9063380013856038,0.014532493292991054,0.741699925723051,0.0917620093332383,0.29536168698479487,0.012404042599082834
0.65,0.4295820325001653,0.47372666189274804,0.2023237416332488,0.12717237672504053,0.9059847463581708,0.014443453460483474,0.7417381128809319,0.09222833501694636,0.2948444620929957,0.01240935324220644
0.67,0.429761238704579,0.47372646535969964,0.20194091003701636,0.12686825911064972,0.9056179945172318,0.014351741233314888,0.7417750070452478,0.09271242195627441,0.2943098500100078,0.01241483290706649
0.6900000000000001,0.42994594268603903,0.47372586381388776,0.20154638875761471,0.12655488256238617,0.9052375097037103,0.014257368554872116,0.7418103666846327,0.0932145885874412,0.29375773873064887,0.012420481873135077
