template_bank_path,mass_GeV,model,lifetime_index,ctau_m,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,template_total_N_eff,number_of_common_energy_bins,passes_N_events_threshold
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,9,35.153204466379705,2403.4410028267466,3425.829140056141,0.7015647612791804,395122.93152051204,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,10,46.208867782288266,1393.466703253645,1986.8035325954447,0.7013610960482343,395009.15621850267,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,11,60.74153108184345,807.3272470339829,1151.693965558735,0.700991123663928,394565.8975886983,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,12,79.84470893226988,468.40312374854926,667.3521655356458,0.7018829756438846,394913.14415114606,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,13,104.95582562594541,270.9201199086895,386.5885228304831,0.7007971109051431,394512.3249090559,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,14,137.9643745982992,156.85316448970985,223.89602779083893,0.7005625157237727,394220.98651911074,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,15,181.35409392267732,90.8478056532811,129.64955436030988,0.7007182253847584,394363.70617828943,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,16,238.38985591952,52.632030247578356,75.06524155699128,0.7011504813132305,394394.437405685,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,17,313.36333344401726,30.466740767608414,43.457064698660126,0.7010768209696355,394376.7289851919,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,18,411.9159280850325,17.640263823726364,25.156398852922216,0.7012237294718054,394510.5280191431,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p3.npz,0.3,ALP-SU2L,19,541.4632591035622,10.210375625826991,14.561684922812969,0.7011809196496879,394464.2087323634,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,0,4.0,7582.764232594722,24267.908698215117,0.31246055549699786,584950.0644773454,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,1,4.827709658906259,5648.169521306418,19372.800726384743,0.29155152118061617,567673.9337798767,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,2,5.8266951376741964,4157.187735641528,15227.294442937022,0.2730089544941967,550577.5666084639,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,3,7.032398098912962,3034.5169850249613,11792.61037276897,0.25732360258693426,534716.1839415303,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,4,8.48759405684903,2194.8309417857754,9005.09423202935,0.24373214596458004,520341.935324415,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,5,10.243909952281355,1577.3677518073082,6786.851105932592,0.23241525814946543,507334.4865586689,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,6,12.363655755398659,1124.5588983900093,5053.207393538504,0.22254358683713907,495713.37167597946,18,True
/Users/MalteFogdeMikkelsen/Library/CloudStorage/OneDrive-Personligt/CERN/SHiP_codes/EventCalc-SHiP/analysis/lifetime_blind_discrimination_final/template_banks/template_bank_ma_0p4.npz,0.4,ALP-photon-combined,7,14.922035077432518,797.1350048314043,3721.370596800277,0.2142046818762958,486091.51062798494,18,True
