mass_GeV,seed,truth_model,truth_lifetime_index,truth_ctau_m,number_of_events,number_of_pseudoexperiments,correct_fraction,selected_photon_fraction,selected_su2_fraction,tie_fraction,mean_profile_statistic_T,std_profile_statistic_T
1.0,73241,photon,12,12.407267275256567,1,100000,0.74239,0.74239,0.25761,0.0,-3.599702320031347,4.755009370865486
1.0,73241,photon,12,12.407267275256567,2,100000,0.83719,0.83719,0.16281,0.0,-7.201289708118421,6.721829623476705
1.0,73241,photon,12,12.407267275256567,3,100000,0.89818,0.89818,0.10182,0.0,-10.800729219238118,8.22251064483182
1.0,73241,photon,12,12.407267275256567,4,100000,0.93656,0.93656,0.06344,0.0,-14.43819629504187,9.495446116323196
1.0,73241,photon,12,12.407267275256567,5,100000,0.95867,0.95867,0.04133,0.0,-18.02393052115134,10.612282987428781
1.0,73241,photon,12,12.407267275256567,6,100000,0.97274,0.97274,0.02726,0.0,-21.623781419433026,11.601394672258959
1.0,73241,photon,12,12.407267275256567,7,100000,0.98184,0.98184,0.01816,0.0,-25.233693485684615,12.539621334339522
1.0,73241,photon,12,12.407267275256567,8,100000,0.98784,0.98784,0.01216,0.0,-28.844432643942135,13.404685590828974
1.0,73241,photon,12,12.407267275256567,9,100000,0.99183,0.99183,0.00817,0.0,-32.455009693275166,14.213316229701196
1.0,73241,photon,12,12.407267275256567,10,100000,0.99449,0.99449,0.00551,0.0,-36.056037141774866,14.997724345712426
1.0,73241,photon,12,12.407267275256567,11,100000,0.99608,0.99608,0.00392,0.0,-39.67028339757772,15.723893788868804
1.0,73241,photon,12,12.407267275256567,12,100000,0.99751,0.99751,0.00249,0.0,-43.30129607206877,16.443371716447544
1.0,73241,photon,13,12.632301501412519,1,100000,0.74307,0.74307,0.25693,0.0,-3.6337176397969886,4.7612540856415615
1.0,73241,photon,13,12.632301501412519,2,100000,0.83799,0.83799,0.16201,0.0,-7.252797119083495,6.715015339933536
1.0,73241,photon,13,12.632301501412519,3,100000,0.89951,0.89951,0.10049,0.0,-10.875368603949566,8.238968396615162
1.0,73241,photon,13,12.632301501412519,4,100000,0.93736,0.93736,0.06264,0.0,-14.514019736739236,9.5103211547872
