mass_GeV,seed,truth_model,truth_lifetime_index,truth_ctau_m,number_of_events,number_of_pseudoexperiments,correct_fraction,selected_photon_fraction,selected_su2_fraction,tie_fraction,mean_profile_statistic_T,std_profile_statistic_T
1.05,73241,photon,9,11.231695431629198,2,100000,0.8179,0.8179,0.1821,0.0,-6.203733477850986,6.198344862175344
1.05,73241,photon,9,11.231695431629198,3,100000,0.87788,0.87788,0.12212,0.0,-9.302715593517437,7.609146830599969
1.05,73241,photon,9,11.231695431629198,4,100000,0.92005,0.92005,0.07995,0.0,-12.43613517730316,8.815003952130695
1.05,73241,photon,9,11.231695431629198,5,100000,0.94592,0.94592,0.05408,0.0,-15.55211366267941,9.866618254400976
1.05,73241,photon,9,11.231695431629198,6,100000,0.96237,0.96237,0.03763,0.0,-18.661109692895455,10.794766241813997
1.05,73241,photon,9,11.231695431629198,7,100000,0.97334,0.97334,0.02666,0.0,-21.78281092283075,11.668626848880974
1.05,73241,photon,9,11.231695431629198,8,100000,0.98161,0.98161,0.01839,0.0,-24.8835608245599,12.447803730087122
1.05,73241,photon,9,11.231695431629198,9,100000,0.98658,0.98658,0.01342,0.0,-27.99931259976527,13.207433371105042
1.05,73241,photon,9,11.231695431629198,10,100000,0.99042,0.99042,0.00958,0.0,-31.09911934587765,13.912960160887174
1.05,73241,photon,9,11.231695431629198,11,100000,0.99328,0.99328,0.00672,0.0,-34.225756980016314,14.579091270287742
1.05,73241,photon,9,11.231695431629198,12,100000,0.99481,0.99481,0.00519,0.0,-37.342337430509694,15.211846491236873
1.05,73241,photon,10,11.316079425700895,1,100000,0.72203,0.72203,0.27797,0.0,-3.090421277622094,4.3951764759522725
1.05,73241,photon,10,11.316079425700895,2,100000,0.81593,0.81593,0.18407,0.0,-6.218647657386623,6.204728260450201
1.05,73241,photon,10,11.316079425700895,3,100000,0.88136,0.88136,0.11864,0.0,-9.345864265934013,7.594085279717336
1.05,73241,photon,10,11.316079425700895,4,100000,0.92219,0.92219,0.07781,0.0,-12.467128388285886,8.781099571328593
1.05,73241,photon,10,11.316079425700895,5,100000,0.94695,0.94695,0.05305,0.0,-15.596284035981904,9.817531670750812
1.05,73241,photon,10,11.316079425700895,6,100000,0.96252,0.96252,0.03748,0.0,-18.70827642145654,10.757599700321853
1.05,73241,photon,10,11.316079425700895,7,100000,0.97391,0.97391,0.02609,0.0,-21.817796046970425,11.625837276166607
1.05,73241,photon,10,11.316079425700895,8,100000,0.98087,0.98087,0.01913,0.0,-24.9386625766281,12.463594267581316
1.05,73241,photon,10,11.316079425700895,9,100000,0.98714,0.98714,0.01286,0.0,-28.044212062240252,13.214366763653365
1.05,73241,photon,10,11.316079425700895,10,100000,0.9905,0.9905,0.0095,0.0,-31.16613368144401,13.934852245707653
1.05,73241,photon,10,11.316079425700895,11,100000,0.99328,0.99328,0.00672,0.0,-34.282705136693416,14.61897558470108
1.05,73241,photon,10,11.316079425700895,12,100000,0.99515,0.99515,0.00485,0.0,-37.378847217242786,15.259129215120183
1.05,73241,photon,11,11.401097398720731,1,100000,0.72169,0.72169,0.27831,0.0,-3.089119490160297,4.397893372952793
