model,mass_GeV,event_level,interval_index,unit_coupling_ctau_m,coupling_min_GeV_inv,coupling_max_GeV_inv,coupling_min_inclusive,coupling_max_inclusive,ctau_min_m,ctau_max_m,ctau_min_inclusive,ctau_max_inclusive
ALP-photon-combined,1.0,2.3,0,3.903081619539363e-14,2.6916040364700627e-08,1.4356185630348185e-06,True,True,0.01893779899285875,53.874752906868885,True,True
ALP-SU2L,1.0,2.3,0,7.353352807104134e-09,4.1064802641446215e-06,0.0007788409227117251,True,True,0.012122379569227907,436.0596718660271,True,True
ALP-photon-combined,1.05,2.3,0,3.370711001321914e-14,2.6943040295222105e-08,1.2804402649765487e-06,True,True,0.020559041978325827,46.43316820429416,True,True
ALP-SU2L,1.05,2.3,0,6.352102633707509e-09,3.895553864570942e-06,0.0006996286484148923,True,True,0.012977240020883813,418.58058340948986,True,True
ALP-photon-combined,1.2,2.3,0,2.2564109152662457e-14,2.715469565619471e-08,9.179188535192385e-07,True,True,0.026779940744719337,30.60048519183075,True,True
ALP-SU2L,1.2,2.3,0,4.255412507904524e-09,3.3657904707009236e-06,0.0005195249950752174,True,True,0.015766263185401082,375.6362642195562,True,True
ALP-photon-combined,1.4,2.3,0,1.4196917418888045e-14,2.7744741723258853e-08,6.200467009569563e-07,True,True,0.036927104369855066,18.44304744599218,True,True
ALP-SU2L,1.4,2.3,0,2.679793295564767e-09,2.820630558302274e-06,0.00037333511500717634,True,True,0.019226649762256163,336.8285400455095,True,True
ALP-photon-combined,1.6,2.3,0,9.503436588749605e-15,2.8739008572710864e-08,4.351121172479812e-07,True,True,0.05019706505668122,11.50633773663974,True,True
ALP-SU2L,1.6,2.3,0,1.7952521504311717e-09,2.4009945640895756e-06,0.0002773287913173788,True,True,0.023341864189903156,311.4175631439731,True,True
ALP-photon-combined,1.8,2.3,0,6.669969843366415e-15,3.0138135733428936e-08,3.1400424799825986e-07,True,True,0.06764766700030277,7.343297131422982,True,True
ALP-SU2L,1.8,2.3,0,1.2608629653247025e-09,2.076504699363438e-06,0.00021402152362858044,True,True,0.0275266262158362,292.41661941965975,True,True
ALP-photon-combined,2.0,2.3,0,4.8593893254206265e-15,3.254358498216099e-08,2.2690930353529663e-07,True,True,0.09437937341208727,4.58829053047256,True,True
ALP-SU2L,2.0,2.3,0,9.191691013387188e-10,1.8169057211230762e-06,0.00016909334727344165,True,True,0.03214714241665615,278.4393632139204,True,True
ALP-photon-combined,2.2,2.3,0,3.648871536518461e-15,3.808133698416164e-08,1.589260913091776e-07,True,True,0.14446683858350345,2.5161365054808953,True,True
ALP-SU2L,2.2,2.3,0,6.905853503071391e-10,1.6077324749631586e-06,0.00013656525375346063,True,True,0.037028569042229585,267.1712932609101,True,True
ALP-photon-combined,2.4,2.3,0,2.809107930393773e-15,4.540378724024794e-08,1.1125117559357177e-07,True,True,0.226965166046653,1.3626498286879496,True,True
ALP-SU2L,2.4,2.3,0,5.319265633695749e-10,1.438093894502935e-06,0.00011245004014068964,True,True,0.0420661192919242,257.20368928502506,True,True
ALP-photon-combined,2.5,2.3,0,2.4847173154586244e-15,5.41686160486657e-08,8.394412707255086e-08,True,True,0.3526114023725628,0.8468012814947521,True,True
ALP-SU2L,2.5,2.3,0,4.706145797973599e-10,1.3682184618538154e-06,0.00010272303686993912,True,True,0.04459946787912359,251.39375514462506,True,True
