mass_GeV,model,lifetime_index,ctau_m,bin_index,energy_low_GeV,energy_high_GeV,probability
0.4,ALP-photon-combined,8,18.009813218464746,13,132.45244859303648,152.07575852822455,0.0009460652015241166
0.4,ALP-photon-combined,8,18.009813218464746,14,152.07575852822455,174.6063328960663,0.0005982376943840003
0.4,ALP-photon-combined,8,18.009813218464746,15,174.6063328960663,200.47489345090884,0.0003866201363414364
0.4,ALP-photon-combined,8,18.009813218464746,16,200.47489345090884,230.17597493486272,0.00022138334621967003
0.4,ALP-photon-combined,8,18.009813218464746,17,230.17597493486272,400.0,0.00020597802766187534
0.4,ALP-photon-combined,9,21.736537307469963,0,0.4,25.238293779207726,0.7978100526229975
0.4,ALP-photon-combined,9,21.736537307469963,1,25.238293779207726,28.977438402999603,0.0454584528013298
0.4,ALP-photon-combined,9,21.736537307469963,2,28.977438402999603,33.27055084410684,0.03661678181669933
0.4,ALP-photon-combined,9,21.736537307469963,3,33.27055084410684,38.19970344085745,0.030093307285120004
0.4,ALP-photon-combined,9,21.736537307469963,4,38.19970344085745,43.859127845727414,0.023797338115176175
0.4,ALP-photon-combined,9,21.736537307469963,5,43.859127845727414,50.35701647176671,0.018767881008613225
0.4,ALP-photon-combined,9,21.736537307469963,6,50.35701647176671,57.81759082983714,0.014184572948538563
0.4,ALP-photon-combined,9,21.736537307469963,7,57.81759082983714,66.38347629750241,0.010688896601961222
0.4,ALP-photon-combined,9,21.736537307469963,8,66.38347629750241,76.21842871852988,0.007347377072395789
0.4,ALP-photon-combined,9,21.736537307469963,9,76.21842871852988,87.5104649579821,0.00527026086928949
0.4,ALP-photon-combined,9,21.736537307469963,10,87.5104649579821,100.47545726038321,0.003625679739423891
0.4,ALP-photon-combined,9,21.736537307469963,11,100.47545726038321,115.36126012506426,0.002408825995487537
0.4,ALP-photon-combined,9,21.736537307469963,12,115.36126012506426,132.45244859303648,0.0016238278595853606
0.4,ALP-photon-combined,9,21.736537307469963,13,132.45244859303648,152.07575852822455,0.0009252291435161304
0.4,ALP-photon-combined,9,21.736537307469963,14,152.07575852822455,174.6063328960663,0.0005849094280770857
0.4,ALP-photon-combined,9,21.736537307469963,15,174.6063328960663,200.47489345090884,0.00037803020718651996
0.4,ALP-photon-combined,9,21.736537307469963,16,200.47489345090884,230.17597493486272,0.00021683752093852436
0.4,ALP-photon-combined,9,21.736537307469963,17,230.17597493486272,400.0,0.00020173896366405125
0.4,ALP-photon-combined,10,26.234422777612238,0,0.4,25.238293779207726,0.8005907340343218
0.4,ALP-photon-combined,10,26.234422777612238,1,25.238293779207726,28.977438402999603,0.04507076796746374
0.4,ALP-photon-combined,10,26.234422777612238,2,28.977438402999603,33.27055084410684,0.036034883348645005
0.4,ALP-photon-combined,10,26.234422777612238,3,33.27055084410684,38.19970344085745,0.029717322005719013
0.4,ALP-photon-combined,10,26.234422777612238,4,38.19970344085745,43.859127845727414,0.0234847170907102
0.4,ALP-photon-combined,10,26.234422777612238,5,43.859127845727414,50.35701647176671,0.018460233672926082
0.4,ALP-photon-combined,10,26.234422777612238,6,50.35701647176671,57.81759082983714,0.01395057404201385
0.4,ALP-photon-combined,10,26.234422777612238,7,57.81759082983714,66.38347629750241,0.010498376697036321
0.4,ALP-photon-combined,10,26.234422777612238,8,66.38347629750241,76.21842871852988,0.007216808559528781
0.4,ALP-photon-combined,10,26.234422777612238,9,76.21842871852988,87.5104649579821,0.005179644092775135
0.4,ALP-photon-combined,10,26.234422777612238,10,87.5104649579821,100.47545726038321,0.0035668179363707885
0.4,ALP-photon-combined,10,26.234422777612238,11,100.47545726038321,115.36126012506426,0.002370154138252017
0.4,ALP-photon-combined,10,26.234422777612238,12,115.36126012506426,132.45244859303648,0.001593345753463877
0.4,ALP-photon-combined,10,26.234422777612238,13,132.45244859303648,152.07575852822455,0.0009083049522143887
0.4,ALP-photon-combined,10,26.234422777612238,14,152.07575852822455,174.6063328960663,0.0005754203619414227
0.4,ALP-photon-combined,10,26.234422777612238,15,174.6063328960663,200.47489345090884,0.00037126732413935386
0.4,ALP-photon-combined,10,26.234422777612238,16,200.47489345090884,230.17597493486272,0.0002128539265104509
0.4,ALP-photon-combined,10,26.234422777612238,17,230.17597493486272,400.0,0.00019777409596784015
0.4,ALP-photon-combined,11,31.66304405982725,0,0.4,25.238293779207726,0.8031853479404572
0.4,ALP-photon-combined,11,31.66304405982725,1,25.238293779207726,28.977438402999603,0.044463467142578886
0.4,ALP-photon-combined,11,31.66304405982725,2,28.977438402999603,33.27055084410684,0.03572476865860097
0.4,ALP-photon-combined,11,31.66304405982725,3,33.27055084410684,38.19970344085745,0.029291178191319534
0.4,ALP-photon-combined,11,31.66304405982725,4,38.19970344085745,43.859127845727414,0.023150194620809673
0.4,ALP-photon-combined,11,31.66304405982725,5,43.859127845727414,50.35701647176671,0.018209926029279604
0.4,ALP-photon-combined,11,31.66304405982725,6,50.35701647176671,57.81759082983714,0.013752698146041631
0.4,ALP-photon-combined,11,31.66304405982725,7,57.81759082983714,66.38347629750241,0.010354443785243259
0.4,ALP-photon-combined,11,31.66304405982725,8,66.38347629750241,76.21842871852988,0.007121509038002476
0.4,ALP-photon-combined,11,31.66304405982725,9,76.21842871852988,87.5104649579821,0.005101238311475873
0.4,ALP-photon-combined,11,31.66304405982725,10,87.5104649579821,100.47545726038321,0.003512798815738295
0.4,ALP-photon-combined,11,31.66304405982725,11,100.47545726038321,115.36126012506426,0.0023327519246563295
