mass_GeV,ctau_m,lifetime_label,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
1.0,15.787479601057262,mid,44,1.0,1.0,1.0,1.0,-125.34752190710059,64.0561694296346
1.0,15.787479601057262,mid,45,1.0,1.0,1.0,1.0,-128.13863817213397,65.52745077661572
1.0,15.787479601057262,mid,46,1.0,1.0,1.0,1.0,-131.02879181933073,66.99648901688758
1.0,15.787479601057262,mid,47,1.0,1.0,1.0,1.0,-133.88963201515116,68.45090211895302
1.0,15.787479601057262,mid,48,1.0,1.0,1.0,1.0,-136.6088563542171,69.91866642476342
1.0,15.787479601057262,mid,49,1.0,1.0,1.0,1.0,-139.56097283955,71.36517846225499
1.0,15.787479601057262,mid,50,1.0,1.0,1.0,1.0,-142.301262357673,72.82041153516367
1.0,15.787479601057262,mid,51,1.0,1.0,1.0,1.0,-145.24857469149202,74.30067799407712
1.0,15.787479601057262,mid,52,1.0,1.0,1.0,1.0,-147.95913029909644,75.74858909596952
1.0,15.787479601057262,mid,53,1.0,1.0,1.0,1.0,-150.91444453301375,77.21878095808997
1.0,15.787479601057262,mid,54,1.0,1.0,1.0,1.0,-153.75200588506937,78.62258568281533
1.0,15.787479601057262,mid,55,1.0,1.0,1.0,1.0,-156.4867511425394,80.0522788502143
1.0,15.787479601057262,mid,56,1.0,1.0,1.0,1.0,-159.45089440688434,81.49935322926412
1.0,15.787479601057262,mid,57,1.0,1.0,1.0,1.0,-162.23484693610152,82.91807570688161
1.0,15.787479601057262,mid,58,1.0,1.0,1.0,1.0,-165.07681931323236,84.36557635775915
1.0,15.787479601057262,mid,59,1.0,1.0,1.0,1.0,-167.85692013140704,85.8521219673263
1.0,15.787479601057262,mid,60,1.0,1.0,1.0,1.0,-170.7562563774905,87.29833688736606
1.0,15.787479601057262,mid,61,1.0,1.0,1.0,1.0,-173.6004193355756,88.709890574138
1.0,15.787479601057262,mid,62,1.0,1.0,1.0,1.0,-176.43924306109113,90.20165508893503
1.0,15.787479601057262,mid,63,1.0,1.0,1.0,1.0,-179.23494535602396,91.63748911658435
1.0,15.787479601057262,mid,64,1.0,1.0,1.0,1.0,-182.15962875663303,93.10546181434805
1.0,15.787479601057262,mid,65,1.0,1.0,1.0,1.0,-185.13368646650395,94.61174988593538
1.0,15.787479601057262,mid,66,1.0,1.0,1.0,1.0,-188.0382880605668,96.05856342698377
1.0,15.787479601057262,mid,67,1.0,1.0,1.0,1.0,-190.8226956725817,97.42087391129805
1.0,15.787479601057262,mid,68,1.0,1.0,1.0,1.0,-193.62762583952474,98.90878150632494
1.0,15.787479601057262,mid,69,1.0,1.0,1.0,1.0,-196.4518548043822,100.38532566579717
1.0,15.787479601057262,mid,70,1.0,1.0,1.0,1.0,-199.27608767202648,101.83757774804783
1.0,15.787479601057262,mid,71,1.0,1.0,1.0,1.0,-202.22389768143512,103.2691967477383
1.0,15.787479601057262,mid,72,1.0,1.0,1.0,1.0,-205.10437571285598,104.73868639613261
1.0,15.787479601057262,mid,73,1.0,1.0,1.0,1.0,-207.9461060440158,106.22231722764926
1.0,15.787479601057262,mid,74,1.0,1.0,1.0,1.0,-210.79418885611335,107.66071119913974
1.0,15.787479601057262,mid,75,1.0,1.0,1.0,1.0,-213.6407587744011,109.11135998705038
