model,plot_label,mass_GeV,ctau_m,weighted_mean_energy_GeV,weighted_median_energy_GeV,energy_q16_GeV,energy_q84_GeV,fraction_below_1_GeV,effective_sample_size,accepted_samples,normalization,range_coverage,N_LLP_total,epsilon_polar,epsilon_azimuthal,mean_P_decay,visible_Br,N_events,reference_ctau_m,is_reference,weighted_mean_gamma,ctau_times_weighted_mean_gamma_m,N_events_ge_10,total_variation_distance_to_reference,binned_cdf_max_distance_to_reference,nonempty_bins_with_low_N_eff,common_ctau_lower_m,common_ctau_upper_m
ALP-SU2L,ALP-$SU(2)_L$,0.4,1000.0,71.16064339392501,65.8165660367413,43.312095905011844,99.61610441058578,0.007541911346689337,197347.55140891846,611347,1.0000000000000002,1.0,46106.29159104616,0.3061405206985578,0.611347,0.00028105361374096947,1.0,2.4252581250822596,1000.0,True,177.90160848481253,177901.60848481252,False,0.0,0.0,13,4.0,156.10182143080877
ALP-photon-primary,"ALP-photon, primary",0.4,4.0,19.292300395455765,13.65323562428237,6.467755611506851,30.52846393980995,3.233069127503701e-06,698394.5445606905,862146,0.9999999999999969,1.0,61866.39720270063,0.8178540411317706,0.862146,0.18579408144734244,1.0,8104.8190348298895,1000.0,False,48.23075098863941,192.92300395455763,True,0.19031651995077334,0.19031651995077337,2,4.0,156.10182143080877
ALP-photon-primary,"ALP-photon, primary",0.4,5.581205190324,18.00390027653647,12.588405747731448,5.8459439197506375,28.60254770167052,1.1952607384879608e-05,653431.8681268023,863354,0.9999999999999998,1.0,44339.095297880755,0.8178540411317706,0.863354,0.15512809682576542,1.0,4856.708090884811,1000.0,False,45.009750691341175,251.2086541737026,True,0.14824454024234154,0.14824454024234163,2,4.0,156.10182143080877
ALP-photon-primary,"ALP-photon, primary",0.4,7.787462844124,17.012539649797226,11.741534611431607,5.357731752565481,27.137109854287438,3.139501220181688e-05,608928.8323008483,864295,0.9999999999999966,1.0,31777.434289465244,0.8178540411317706,0.864295,0.1254741293643397,1.0,2818.4531801323833,1000.0,False,42.53134912449306,331.2113010174555,True,0.11303978528719447,0.11303978528719444,2,4.0,156.10182143080877
ALP-photon-primary,"ALP-photon, primary",0.4,10.865857011269,16.259193596626773,11.098088977533372,4.995262182914194,26.007766185548157,6.576423373810236e-05,568277.2516891684,864952,0.9999999999999988,1.0,22774.603839729854,0.8178540411317706,0.864952,0.09880380471463507,1.0,1591.8139670320027,1000.0,False,40.64798399156693,441.6751818487176,True,0.08522960825140997,0.08522960825140996,2,4.0,156.10182143080877
ALP-photon-primary,"ALP-photon, primary",0.4,15.161144387152,15.693322471944263,10.604431438717347,4.728201068899864,25.17706032171233,0.00011696956246921323,533358.073852228,865401,0.999999999999998,1.0,16322.355522219823,0.8178540411317706,0.865401,0.07610528358944603,1.0,879.2063950915807,1000.0,False,39.233306179860655,594.8218197782103,True,0.06339985108215831,0.0633998510821584,3,4.0,156.10182143080877
ALP-photon-primary,"ALP-photon, primary",0.4,21.154364436204,15.272019882817883,10.248807265698474,4.530528960173064,24.558287692915833,0.00017276322387764178,504681.373052791,865711,1.0000000000000004,1.0,11698.086678855028,0.8178540411317706,0.865711,0.05759638680602494,1.0,477.0444136330689,1000.0,False,38.1800497070447,807.6746856952074,True,0.04658073693633137,0.04658073693633147,3,4.0,156.10182143080877
ALP-photon-primary,"ALP-photon, primary",0.4,29.516712147334,14.960391851677194,9.985946650743841,4.38621759753364,24.100054752171243,0.0002468423012230266,481958.0634503047,865953,0.9999999999999951,1.0,8383.914427039395,0.8178540411317706,0.865953,0.042992635378614065,1.0,255.2766132440835,1000.0,False,37.40097962919298,1103.953949743192,True,0.03383046152992572,0.033830461529925804,3,4.0,156.10182143080877
ALP-photon-primary,"ALP-photon, primary",0.4,41.184706759497,14.732228317561546,9.798266125534948,4.280374238913923,23.766841264698634,0.0003127911666742439,464412.7074537122,866116,0.9999999999999959,1.0,6008.67672206354,0.8178540411317706,0.866116,0.03175239397797537,1.0,135.14723935679044,1000.0,False,36.83057079390386,1516.856257931825,True,0.024323623122015886,0.024323623122015914,3,4.0,156.10182143080877
ALP-photon-primary,"ALP-photon, primary",0.4,57.465074782015,14.566235562010203,9.650682553366845,4.203845068756728,23.52277984841775,0.0003723305296711278,451171.56293302454,866229,1.000000000000003,1.0,4306.365035624255,0.8178540411317706,0.866229,0.02326323734783709,1.0,70.97240390235501,1000.0,False,36.4155889050255,2092.6245396584063,True,0.01731831105849529,0.01731831105849535,3,4.0,156.10182143080877
