mass_GeV,ctau_m,lifetime_label,number_of_events,photon_correct_fraction,su2_correct_fraction,balanced_accuracy,worst_case_correct_fraction,photon_llr_median,su2_llr_median
1.0,13.773613035277583,mid,18,1.0,1.0,1.0,1.0,-42.142423010230374,20.610504795230987
1.0,13.773613035277583,mid,19,1.0,1.0,1.0,1.0,-44.51074062502143,21.73582138190713
1.0,13.773613035277583,mid,20,1.0,1.0,1.0,1.0,-46.90780502971318,22.86263262922784
1.0,13.773613035277583,mid,21,1.0,1.0,1.0,1.0,-49.24870274048733,23.978065036304212
1.0,13.773613035277583,mid,22,1.0,1.0,1.0,1.0,-51.59795105240448,25.101337100241892
1.0,13.773613035277583,mid,23,1.0,1.0,1.0,1.0,-53.92066210294786,26.218108856821324
1.0,13.773613035277583,mid,24,1.0,1.0,1.0,1.0,-56.238202700262164,27.345440971442
1.0,13.773613035277583,mid,25,1.0,1.0,1.0,1.0,-58.55666065118792,28.48035455925896
1.0,13.773613035277583,mid,26,1.0,1.0,1.0,1.0,-60.844242365321435,29.626229584579747
1.0,13.773613035277583,mid,27,1.0,1.0,1.0,1.0,-63.177238061374794,30.7417496641201
1.0,13.773613035277583,mid,28,1.0,1.0,1.0,1.0,-65.50048930266637,31.86213195465968
1.0,13.773613035277583,mid,29,1.0,1.0,1.0,1.0,-67.86045607714752,32.99314665569553
1.0,13.773613035277583,mid,30,1.0,1.0,1.0,1.0,-70.23416436556631,34.13835847153008
1.0,13.773613035277583,mid,31,1.0,1.0,1.0,1.0,-72.49767593399694,35.229159497544074
1.0,13.773613035277583,mid,32,1.0,1.0,1.0,1.0,-74.78485507386156,36.382360530127485
1.0,13.773613035277583,mid,33,1.0,1.0,1.0,1.0,-77.13946176702602,37.501776545485214
1.0,13.773613035277583,mid,34,1.0,1.0,1.0,1.0,-79.4756898073245,38.624678467754975
1.0,13.773613035277583,mid,35,1.0,1.0,1.0,1.0,-81.73506977978124,39.71408816502359
1.0,13.773613035277583,mid,36,1.0,1.0,1.0,1.0,-84.12002812785288,40.844671454266035
1.0,13.773613035277583,mid,37,1.0,1.0,1.0,1.0,-86.36742307223508,41.95674049346589
1.0,13.773613035277583,mid,38,1.0,1.0,1.0,1.0,-88.79412546255212,43.07521768440054
1.0,13.773613035277583,mid,39,1.0,1.0,1.0,1.0,-91.16647025625096,44.18809950502556
1.0,13.773613035277583,mid,40,1.0,1.0,1.0,1.0,-93.48583661973962,45.306463766994206
1.0,13.773613035277583,mid,41,1.0,1.0,1.0,1.0,-95.85790060089501,46.42904796835775
1.0,13.773613035277583,mid,42,1.0,1.0,1.0,1.0,-98.16117201873529,47.57546546830051
1.0,13.773613035277583,mid,43,1.0,1.0,1.0,1.0,-100.41414233958395,48.7010516456033
1.0,13.773613035277583,mid,44,1.0,1.0,1.0,1.0,-102.79959090004573,49.79616373993841
1.0,13.773613035277583,mid,45,1.0,1.0,1.0,1.0,-105.15116848834029,50.93335086121154
1.0,13.773613035277583,mid,46,1.0,1.0,1.0,1.0,-107.48656870460367,52.09058959028737
1.0,13.773613035277583,mid,47,1.0,1.0,1.0,1.0,-109.81824398050668,53.175368712497196
1.0,13.773613035277583,mid,48,1.0,1.0,1.0,1.0,-112.14665484748785,54.33890843709159
1.0,13.773613035277583,mid,49,1.0,1.0,1.0,1.0,-114.58657920186002,55.45748444023592
1.0,13.773613035277583,mid,50,1.0,1.0,1.0,1.0,-116.83507904670132,56.59020035957928
1.0,13.773613035277583,mid,51,1.0,1.0,1.0,1.0,-119.15240437210494,57.72202168258792
1.0,13.773613035277583,mid,52,1.0,1.0,1.0,1.0,-121.40073883412151,58.88346641249625
1.0,13.773613035277583,mid,53,1.0,1.0,1.0,1.0,-123.78165131597865,60.017144686788136
1.0,13.773613035277583,mid,54,1.0,1.0,1.0,1.0,-126.02728694721415,61.1335263279684
1.0,13.773613035277583,mid,55,1.0,1.0,1.0,1.0,-128.46395532299906,62.23419397980258
1.0,13.773613035277583,mid,56,1.0,1.0,1.0,1.0,-130.82766394054238,63.31813621431246
1.0,13.773613035277583,mid,57,1.0,1.0,1.0,1.0,-133.13306236935637,64.42210815698968
1.0,13.773613035277583,mid,58,1.0,1.0,1.0,1.0,-135.52672809602515,65.55444462700763
1.0,13.773613035277583,mid,59,1.0,1.0,1.0,1.0,-137.78456909617483,66.6707455595697
1.0,13.773613035277583,mid,60,1.0,1.0,1.0,1.0,-140.1914375233863,67.82582237995047
1.0,13.773613035277583,mid,61,1.0,1.0,1.0,1.0,-142.51611860694675,68.9575358615588
1.0,13.773613035277583,mid,62,1.0,1.0,1.0,1.0,-144.9144616905009,70.06674196797172
1.0,13.773613035277583,mid,63,1.0,1.0,1.0,1.0,-147.23310158250828,71.18601413871525
1.0,13.773613035277583,mid,64,1.0,1.0,1.0,1.0,-149.57716713996666,72.32075509016713
1.0,13.773613035277583,mid,65,1.0,1.0,1.0,1.0,-151.90666771341347,73.46745196257822
1.0,13.773613035277583,mid,66,1.0,1.0,1.0,1.0,-154.23673360445474,74.60055579206411
1.0,13.773613035277583,mid,67,1.0,1.0,1.0,1.0,-156.4399560465345,75.73037650716998
1.0,13.773613035277583,mid,68,1.0,1.0,1.0,1.0,-158.88186965470834,76.82924048941116
1.0,13.773613035277583,mid,69,1.0,1.0,1.0,1.0,-161.1742693221069,77.97446931100629
1.0,13.773613035277583,mid,70,1.0,1.0,1.0,1.0,-163.54775539061484,79.11301257907633
1.0,13.773613035277583,mid,71,1.0,1.0,1.0,1.0,-166.03110775647346,80.23328511301767
1.0,13.773613035277583,mid,72,1.0,1.0,1.0,1.0,-168.41550255156858,81.36846246168453
1.0,13.773613035277583,mid,73,1.0,1.0,1.0,1.0,-170.77556532079745,82.5296411533236
1.0,13.773613035277583,mid,74,1.0,1.0,1.0,1.0,-173.08513120034468,83.6549918620137
1.0,13.773613035277583,mid,75,1.0,1.0,1.0,1.0,-175.4433801353349,84.77495022471015
1.0,13.773613035277583,mid,76,1.0,1.0,1.0,1.0,-177.84497141416034,85.92007204521194
1.0,13.773613035277583,mid,77,1.0,1.0,1.0,1.0,-180.16018743322894,87.0607235245016
1.0,13.773613035277583,mid,78,1.0,1.0,1.0,1.0,-182.45394113449458,88.18739469860827
1.0,13.773613035277583,mid,79,1.0,1.0,1.0,1.0,-184.8079015159424,89.27927748343055
1.0,13.773613035277583,mid,80,1.0,1.0,1.0,1.0,-187.0822211644478,90.40398627175117
1.0,13.773613035277583,mid,81,1.0,1.0,1.0,1.0,-189.3462961354326,91.49834539796078
1.0,13.773613035277583,mid,82,1.0,1.0,1.0,1.0,-191.5913850749429,92.6389714676321
1.0,13.773613035277583,mid,83,1.0,1.0,1.0,1.0,-193.9281816885748,93.82247255092648
1.0,13.773613035277583,mid,84,1.0,1.0,1.0,1.0,-196.33792396375603,94.96822174155577
1.0,13.773613035277583,mid,85,1.0,1.0,1.0,1.0,-198.67266818383686,96.11482199742
1.0,13.773613035277583,mid,86,1.0,1.0,1.0,1.0,-201.00284968589875,97.23290961322066
1.0,13.773613035277583,mid,87,1.0,1.0,1.0,1.0,-203.2502015507127,98.3234947628109
1.0,13.773613035277583,mid,88,1.0,1.0,1.0,1.0,-205.68478509492166,99.43695813990624
1.0,13.773613035277583,mid,89,1.0,1.0,1.0,1.0,-207.98037591822214,100.56666021021186
1.0,13.773613035277583,mid,90,1.0,1.0,1.0,1.0,-210.25084220178343,101.6891605317838
1.0,13.773613035277583,mid,91,1.0,1.0,1.0,1.0,-212.67654222457594,102.82093009770016
1.0,13.773613035277583,mid,92,1.0,1.0,1.0,1.0,-214.9053308464352,103.90234376059345
1.0,13.773613035277583,mid,93,1.0,1.0,1.0,1.0,-217.30520519896828,105.04823797591001
1.0,13.773613035277583,mid,94,1.0,1.0,1.0,1.0,-219.66352132680345,106.1697617857937
1.0,13.773613035277583,mid,95,1.0,1.0,1.0,1.0,-221.95330611311772,107.29363421043851
1.0,13.773613035277583,mid,96,1.0,1.0,1.0,1.0,-224.21925689005695,108.42672211186914
1.0,13.773613035277583,mid,97,1.0,1.0,1.0,1.0,-226.55302163674253,109.53467455262748
1.0,13.773613035277583,mid,98,1.0,1.0,1.0,1.0,-228.8722741479611,110.68258644540626
1.0,13.773613035277583,mid,99,1.0,1.0,1.0,1.0,-231.28700476061744,111.77143579197816
1.0,13.773613035277583,mid,100,1.0,1.0,1.0,1.0,-233.63127671901032,112.9102504181437
