profile,selection_name,model,model_id,mass_GeV,ctau_m,ctau_min_m,coupling_squared,N_events,N_events_before_ECAL,epsilon_ECAL_weighted,passes_event_cut,N_events_primary,N_events_cascade,N_events_inclusive,cascade_event_fraction,valid_mother_samples,samples_passing_ECAL,template_model_seed,spectrum_cache_key,scan_point_kind
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,72.41270699999998,3.0,2.0072410090377577e-14,141.118870775523,902.8120029846451,0.15631036174640128,True,48.182577783068794,92.9362929924542,,0.6585674366703759,1707269,806862,54321,f8d78b5377e403c3a8a0bf8697914cc094aff43bb304ed578b0f0700d7e57582,coarse
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,123.10160189999996,3.0,1.1807300053163281e-14,49.385421457231516,324.77333373612396,0.15206119569335338,True,16.78973373719406,32.59568772003745,,0.6600265171021328,1707656,806299,54321,63ce20d00ff26fe53f82ce9ec6612e19627adbe6ddb08e41eb58f0fdc00d370a,coarse
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,209.27272322999994,3.0,6.945470619507812e-15,17.241189103721233,115.02467231187028,0.1498912255709333,True,5.83427767804991,11.406911425671325,,0.6616081615397007,1707883,806442,54321,d2b8a460f81754535b01dbcf14341de5771ace8cf3ef86b2ca83aeecc58b96a6,coarse
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,272.85824812486476,3.0,5.326932796230548e-15,10.19340808186287,68.19343672100415,0.14947784672543443,True,3.443086745433392,6.7503213364294785,,0.6622241827480962,1707976,806844,54321,84e8382a8c8922a78f7e4a964caf30dbfa8690d71f84d13494ded8f33d3a9e99,bisection_evaluation
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,275.1299383379928,3.0,5.282949429053975e-15,10.02131298177423,67.08632981990256,0.14937935953087716,True,3.386646974234787,6.634666007539442,,0.6620555629392989,1707978,807109,54321,38e57ab81b376682b207667eb723515832df2795d6466fe13a74edd6999f1ba3,bisection_evaluation
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,275.4152262204656,3.0,5.2774771046784915e-15,10.000645964482626,66.94916554449057,0.14937670818072812,True,3.379651509809282,6.620994454673345,,0.6620566789573253,1707978,807109,54321,ff61bc1bd2573307a25bd601c21c1decbf96e8685ffcfd3e720be663208effe9,bisection_evaluation
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,275.4241462318424,3.0,5.2773061859102615e-15,10.000000806041289,66.9448836540424,0.14937662537019658,True,3.3794331342530035,6.620567671788286,,0.6620567138143238,1707978,807109,54321,3a45412d94698b080266c6af4690c2292d3086bc0c66d35f357959b6f6091613,bisection_evaluation
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,275.43306653211613,3.0,5.277135272677485e-15,9.999355689136326,66.94060203571264,0.14937654256234048,False,3.379214772789886,6.620140916346441,,0.6620567486701977,1707978,807109,54321,df7d3efbd9902b1e2b776e13d0931f3fc0d690be33e77c79468ef341182141b9,bisection_evaluation
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,275.45090799939163,3.0,5.276793462817573e-15,9.998065579924857,66.93203961533993,0.14937637695465408,False,3.378778092139496,6.619287487785361,,0.6620568183785718,1707978,807109,54321,585fde0d3aa6095b2e21f243f08c865dba1c6397555ee333fe02d58f6b82d4a5,bisection_evaluation
production,diphoton_ecal,ALP-photon-combined,alp_photon_combined,0.3,275.48659440111703,3.0,5.276109909515296e-15,9.995485859821141,66.9149180392621,0.14937604577138275,False,3.377904899916712,6.617580959904428,,0.6620569577818244,1707978,807109,54321,60178271f694fa0ab6b714e4ada0920bd7aedb46b501e6dd732916dfdf45caa9,bisection_evaluation
