"mass","coupling"
4.81047663321431628e-34,5.04731102945213164e-13
4.84067572423956774e-34,5.04731102945213164e-13
4.87106439837021558e-34,5.04731102945213164e-13
4.90164384576646108e-34,5.04731102945213164e-13
4.93241526405990449e-34,5.04731102945213164e-13
4.9633798584007686e-34,5.04731102945213164e-13
4.99453884150481757e-34,5.04731102945213164e-13
5.02589343370097174e-34,5.04731102945213164e-13
5.05744486297922465e-34,5.04731102945213164e-13
5.08919436503849398e-34,5.04731102945213164e-13
5.12114318333513355e-34,5.04731102945213164e-13
5.15329256913176419e-34,5.04731102945213164e-13
5.18564378154598506e-34,5.04731102945213164e-13
5.21819808760001902e-34,5.04731102945213164e-13
5.25095676227004483e-34,5.04731102945213164e-13
5.28392108853625299e-34,5.04731102945213164e-13
5.31709235743322487e-34,5.04731102945213164e-13
5.35047186810023836e-34,5.04731102945213164e-13
5.3840609278322742e-34,5.04731102945213164e-13
5.41786085213134836e-34,5.04731102945213164e-13
5.4518729647577719e-34,5.04731102945213164e-13
5.48609859778212335e-34,5.04731102945213164e-13
5.52053909163755829e-34,5.04731102945213164e-13
5.55519579517198746e-34,5.04731102945213164e-13
5.59007006570126701e-34,5.04731102945213164e-13
5.62516326906204246e-34,5.04731102945213164e-13
5.66047677966537234e-34,5.04731102945213164e-13
5.69601198055069904e-34,5.04731102945213164e-13
5.73177026343973511e-34,5.04731102945213164e-13
5.76775302879110995e-34,5.04731102945213164e-13
5.80396168585535723e-34,5.04731102945213164e-13
5.84039765272978206e-34,5.04731102945213164e-13
5.87706235641437404e-34,5.04731102945213164e-13
5.91395723286736412e-34,5.04731102945213164e-13
5.95108372706160697e-34,5.04731102945213164e-13
5.9884432930413188e-34,5.04731102945213164e-13
6.02603739397872885e-34,5.04731102945213164e-13
6.06386750223153624e-34,5.04731102945213164e-13
6.10193509940071675e-34,5.04731102945213164e-13
6.14024167638825524e-34,5.04731102945213164e-13
6.17878873345568522e-34,5.04731102945213164e-13
6.21757778028299492e-34,5.04731102945213164e-13
6.25661033602740199e-34,5.04731102945213164e-13
6.29588792938325415e-34,5.04731102945213164e-13
6.33541209864154775e-34,5.04731102945213164e-13
6.37518439175032246e-34,5.04731102945213164e-13
6.41520636637544169e-34,5.04731102945213164e-13
6.45547958996129128e-34,5.04731102945213164e-13
6.49600563979232026e-34,5.04731102945213164e-13
6.53678610305497104e-34,5.04731102945213164e-13
6.57782257689952977e-34,5.04731102945213164e-13
6.61911666850282966e-34,5.04731102945213164e-13
6.66066999513136227e-34,5.04731102945213164e-13
6.70248418420423713e-34,5.04731102945213164e-13
6.74456087335735548e-34,5.04731102945213164e-13
6.7869017105071606e-34,5.04731102945213164e-13
6.82950835391534698e-34,5.04731102945213164e-13
6.87238247225396892e-34,5.04731102945213164e-13
6.9155257446704628e-34,5.04731102945213164e-13
6.95893986085357305e-34,5.04731102945213164e-13
7.00262652109970053e-34,5.04731102945213164e-13
7.04658743637909845e-34,5.04731102945213164e-13
7.09082432840333295e-34,5.04731102945213164e-13
7.13533892969232019e-34,5.04731102945213164e-13
7.18013298364234161e-34,5.04731102945213164e-13
7.22520824459450632e-34,5.04731102945213164e-13
7.27056647790310799e-34,5.04731102945213164e-13
7.31620946000493397e-34,5.04731102945213164e-13
7.36213897848902356e-34,5.04731102945213164e-13
