"mass","coupling"
2.61542188935925131e-33,3.54813389233576042e-8
2.6384090878971843e-33,3.54813389233576042e-8
2.66159832316914155e-33,3.54813389233576042e-8
2.68499137089569768e-33,3.54813389233576042e-8
2.70859002240447465e-33,3.54813389233576042e-8
2.73239608476718155e-33,3.54813389233576042e-8
2.75641138093808022e-33,3.54813389233576042e-8
2.78063774989353178e-33,3.54813389233576042e-8
2.80507704677290941e-33,3.54813389233576042e-8
2.82973114302051873e-33,3.54813389233576042e-8
2.85460192652899523e-33,3.54813389233576042e-8
2.87969130178382324e-33,3.54813389233576042e-8
2.90500119000926768e-33,3.54813389233576042e-8
2.9305335293153494e-33,3.54813389233576042e-8
2.95629027484635239e-33,3.54813389233576042e-8
2.98227339893051376e-33,3.54813389233576042e-8
3.00848489123103185e-33,3.54813389233576042e-8
3.03492675889852374e-33,3.54813389233576042e-8
3.06160102672457498e-33,3.54813389233576042e-8
3.08850973729688681e-33,3.54813389233576042e-8
3.11565495115563788e-33,3.54813389233576042e-8
3.14303874695137259e-33,3.54813389233576042e-8
3.17066322160402086e-33,3.54813389233576042e-8
3.19853049046357355e-33,3.54813389233576042e-8
3.22664268747201189e-33,3.54813389233576042e-8
3.25500196532682064e-33,3.54813389233576042e-8
3.28361049564567481e-33,3.54813389233576042e-8
3.31247046913283566e-33,3.54813389233576042e-8
3.34158409574684933e-33,3.54813389233576042e-8
3.37095360486988816e-33,3.54813389233576042e-8
3.40058124547829767e-33,3.54813389233576042e-8
3.43046928631492584e-33,3.54813389233576042e-8
3.46062001606279363e-33,3.54813389233576042e-8
3.49103574352046546e-33,3.54813389233576042e-8
3.52171879777867758e-33,3.54813389233576042e-8
3.55267152839879937e-33,3.54813389233576042e-8
3.58389630559272734e-33,3.54813389233576042e-8
3.61539552040434988e-33,3.54813389233576042e-8
3.64717158489276346e-33,3.54813389233576042e-8
3.67922693231679878e-33,3.54813389233576042e-8
3.71156401732146528e-33,3.54813389233576042e-8
3.74418531612585745e-33,3.54813389233576042e-8
3.77709332671289224e-33,3.54813389233576042e-8
3.81029056902041203e-33,3.54813389233576042e-8
3.84377958513426915e-33,3.54813389233576042e-8
3.87756293948292385e-33,3.54813389233576042e-8
3.91164321903394505e-33,3.54813389233576042e-8
3.94602303349191803e-33,3.54813389233576042e-8
3.98070501549840711e-33,3.54813389233576042e-8
4.01569182083348743e-33,3.54813389233576042e-8
4.05098612861924517e-33,3.54813389233576042e-8
4.0865906415247308e-33,3.54813389233576042e-8
4.1225080859730533e-33,3.54813389233576042e-8
4.15874121235008475e-33,3.54813389233576042e-8
4.19529279521520886e-33,3.54813389233576042e-8
4.23216563351358291e-33,3.54813389233576042e-8
4.2693625507905986e-33,3.54813389233576042e-8
4.30688639540806579e-33,3.54813389233576042e-8
4.34474004076228794e-33,3.54813389233576042e-8
4.38292638550423594e-33,3.54813389233576042e-8
4.42144835376130069e-33,3.54813389233576042e-8
4.46030889536135111e-33,3.54813389233576042e-8
4.49951098605854297e-33,3.54813389233576042e-8
4.53905762776133834e-33,3.54813389233576042e-8
4.57895184876215381e-33,3.54813389233576042e-8
4.61919670396940165e-33,3.54813389233576042e-8
4.65979527514134482e-33,3.54813389233576042e-8
4.7007506711222347e-33,3.54813389233576042e-8
4.74206602808014447e-33,3.54813389233576042e-8
4.78374450974727245e-33,3.54813389233576042e-8
4.82578930766212922e-33,3.54813389233576042e-8
4.86820364141408893e-33,3.54813389233576042e-8
4.91099075888968991e-33,3.54813389233576042e-8
4.95415393652150516e-33,3.54813389233576042e-8
4.99769647953895099e-33,3.54813389233576042e-8
5.04162172222155096e-33,3.54813389233576042e-8
5.08593302815401519e-33,3.54813389233576042e-8
5.13063379048396898e-33,3.54813389233576042e-8
5.17572743218174294e-33,3.54813389233576042e-8
5.22121740630244726e-33,3.54813389233576042e-8
5.26710719625055708e-33,3.54813389233576042e-8
5.313400316046403e-33,3.54813389233576042e-8
5.36010031059542682e-33,3.54813389233576042e-8
5.40721075595954445e-33,3.54813389233576042e-8
5.45473525963116391e-33,3.54813389233576042e-8
5.50267746080916348e-33,3.54813389233576042e-8
5.55104103067773883e-33,3.54813389233576042e-8
5.59982967268743869e-33,3.54813389233576042e-8
5.64904712283893583e-33,3.54813389233576042e-8
5.69869714996884191e-33,3.54813389233576042e-8
5.74878355603848674e-33,3.54813389233576042e-8
5.79931017642496334e-33,3.54813389233576042e-8
5.85028088021501036e-33,3.54813389233576042e-8
5.90169957050100523e-33,3.54813389233576042e-8
5.95357018468003341e-33,3.54813389233576042e-8
6.00589669475529986e-33,3.54813389233576042e-8
6.0586831076404792e-33,3.54813389233576042e-8
6.11193346546625747e-33,3.54813389233576042e-8
6.16565184589004772e-33,3.54813389233576042e-8
6.21984236240819465e-33,3.54813389233576042e-8
6.2745091646709131e-33,3.54813389233576042e-8
6.32965643880025266e-33,3.54813389233576042e-8
6.38528840771034416e-33,3.54813389233576042e-8
6.44140933143097514e-33,3.54813389233576042e-8
6.49802350743369762e-33,3.54813389233576042e-8
6.55513527096112085e-33,3.54813389233576042e-8
6.61274899535856598e-33,3.54813389233576042e-8
6.67086909240916577e-33,3.54813389233576042e-8
6.72950001267159139e-33,3.54813389233576042e-8
6.78864624582107513e-33,3.54813389233576042e-8
6.84831232099287588e-33,3.54813389233576042e-8
6.90850280712932106e-33,3.54813389233576042e-8
6.96922231332956322e-33,3.54813389233576042e-8
7.03047548920274848e-33,3.54813389233576042e-8
7.09226702522371672e-33,3.54813389233576042e-8
7.1546016530924134e-33,3.54813389233576042e-8
7.21748414609609315e-33,3.54813389233576042e-8
