reference,branch,mass_GeV,eventcalc_coupling_GeV_inv,reference_coupling_GeV_inv,log10_reference_over_eventcalc_dex,absolute_log_distance_dex,coupling_ratio_reference_over_eventcalc
geom_only,lower,0.02813143345127612,9.15861112556962e-08,1.0696198934525375e-07,0.0673998523310235,0.0673998523310235,1.1678843863850727
geom_only,lower,0.02835641589882947,9.110604415252151e-08,1.0636979613345129e-07,0.06727113700951294,0.06727113700951294,1.167538302457481
geom_only,lower,0.028583197653972128,9.062849341804501e-08,1.0578667222245893e-07,0.06716619508842127,0.06716619508842127,1.167256215266575
geom_only,lower,0.02881179310675024,9.0153445862212e-08,1.0519403092885336e-07,0.0670087660919076,0.0670087660919076,1.1668331689687044
geom_only,lower,0.029042216762295004,8.96808883641056e-08,1.0461418860971056e-07,0.06689068934583273,0.06689068934583273,1.166515971440599
geom_only,lower,0.029274483241743088,8.92108078715854e-08,1.0403413780884473e-07,0.0667584000190082,0.0667584000190082,1.1661606961187572
geom_only,lower,0.02950860728316438,8.874319140092624e-08,1.0346085076444949e-07,0.06664100246694908,0.06664100246694908,1.1658455046656078
geom_only,lower,0.029744603742497173,8.827802603646001e-08,1.0289182375823585e-07,0.06652825171862814,0.06652825171862814,1.165542869249706
geom_only,lower,0.029982487594490785,8.781529893021806e-08,1.0231551671296719e-07,0.06637131782258622,0.06637131782258622,1.1651217721671898
geom_only,lower,0.030222273933655824,8.735499730157755e-08,1.0173417336968078e-07,0.06617910598555536,0.06617910598555536,1.1646062218794613
geom_only,lower,0.030463977975221938,8.689710843690768e-08,1.0116170482017524e-07,0.06601081441848144,0.06601081441848144,1.1641550178119504
geom_only,lower,0.030707615056103282,8.644161968921886e-08,1.0058722428538481e-07,0.06581992808684496,0.06581992808684496,1.1636434468375678
geom_only,lower,0.030953200635871692,8.599012688383461e-08,1.0001930042892567e-07,0.06563522283173565,0.06563522283173565,1.1631486550083046
geom_only,lower,0.031200750297737657,8.55424064607941e-08,9.946259572855611e-08,0.06547832548678208,0.06547832548678208,1.1627285207850906
geom_only,lower,0.03145027974953912,8.509701716092404e-08,9.889425709270776e-08,0.06525673496447924,0.06525673496447924,1.162135411934501
geom_only,lower,0.03170180482473815,8.465394684688387e-08,9.833802436111824e-08,0.06507426778051513,0.06507426778051513,1.1616472476940167
geom_only,lower,0.031955341483425714,8.421318344452796e-08,9.778356412727572e-08,0.06488577792266788,0.06488577792266788,1.1611431859916173
geom_only,lower,0.03221090581333433,8.377471494257649e-08,9.722780111416951e-08,0.0646775051893691,0.0646775051893691,1.1605864750577124
geom_only,lower,0.0324685140308589,8.333852939228817e-08,9.666793250731104e-08,0.0644365976413139,0.0644365976413139,1.1599428645096337
geom_only,lower,0.03272818248208573,8.290461490713442e-08,9.612679896403215e-08,0.06426577414593831,0.06426577414593831,1.1594867073649464
geom_only,lower,0.03298992764382963,8.247295966247622e-08,9.558504284165606e-08,0.06407835900898015,0.06407835900898015,1.1589864512300947
geom_only,lower,0.0332537661246796,8.204355189524069e-08,9.50388780622744e-08,0.06385684687548214,0.06385684687548214,1.15839546029927
geom_only,lower,0.033519714666052546,8.161637990360141e-08,9.4502911508977e-08,0.06366786102781673,0.06366786102781673,1.1578914872308244
geom_only,lower,0.033787790143255655,8.119143204665919e-08,9.396613948482765e-08,0.06346118310255729,0.06346118310255729,1.1573405852827805
geom_only,lower,0.03405800956655716,8.076869674412495e-08,9.343952729393642e-08,0.06328755738736724,0.06328755738736724,1.1568779869007002
geom_only,lower,0.03433039008226571,8.034816247600413e-08,9.290217692295269e-08,0.06304994157803634,0.06304994157803634,1.1562451966552165
geom_only,lower,0.03460494897381837,8.000332958856826e-08,9.238326603629912e-08,0.06248524995494349,0.06248524995494349,1.1547427652248592
geom_only,lower,0.034881703662877246,7.966330128020052e-08,9.185728936771232e-08,0.06185532581223536,0.06185532581223536,1.1530690781269755
geom_only,lower,0.03516067171043505,7.932471815231571e-08,9.133135301739608e-08,0.06121135381039091,0.06121135381039091,1.1513605739137425
geom_only,lower,0.03544187081792932,7.898757406264105e-08,9.080402057214755e-08,0.06054630281885484,0.06054630281885484,1.1495988027197224
geom_only,lower,0.03572531882836569,7.865186289500947e-08,9.028683001313148e-08,0.059915391645933604,0.059915391645933604,1.1479299623666035
geom_only,lower,0.036011033727450036,7.831757855924873e-08,8.975753730007488e-08,0.05921167684275375,0.05921167684275375,1.1460714050571879
geom_only,lower,0.03629903364472977,7.798471499107087e-08,8.924081915539493e-08,0.058554058800677246,0.058554058800677246,1.1443373123260483
geom_only,lower,0.03658933685474421,7.765326615196226e-08,8.872593091732089e-08,0.05789083749945518,0.05789083749945518,1.1425911016246266
geom_only,lower,0.03688196177818411,7.732322602907399e-08,8.821517197623424e-08,0.05723332003446838,0.05723332003446838,1.1408625390651033
geom_only,lower,0.0371769269830606,7.699458863511299e-08,8.770630582200627e-08,0.05657061598328821,0.05657061598328821,1.1391229874304214
geom_only,lower,0.037474251185883316,7.666734800823278e-08,8.720605329039503e-08,0.05593619106012681,0.05593619106012681,1.1374601516284426
geom_only,lower,0.037773953252848075,7.634149821192623e-08,8.669976009412735e-08,0.05525721696384343,0.05525721696384343,1.1356832407643649
geom_only,lower,0.03807605220103397,7.601703333491729e-08,8.619868111902434e-08,0.05458970428032914,0.05458970428032914,1.1339390309964945
geom_only,lower,0.038380567199610006,7.569507747571744e-08,8.570392882230247e-08,0.053933093392905675,0.053933093392905675,1.1322259211610666
geom_only,lower,0.03868751757105163,7.537630313701395e-08,8.520853951463248e-08,0.053248288029053875,0.053248288029053875,1.1304420085414133
geom_only,lower,0.03899692279236656,7.50588712512467e-08,8.471638458185514e-08,0.052565384099268316,0.052565384099268316,1.1286658481484697
geom_only,lower,0.03930880249633087,7.474277616494967e-08,8.422786602532984e-08,0.051886572883802294,0.051886572883802294,1.1269030981595807
geom_only,lower,0.03962317647273463,7.44280122484653e-08,8.374326333444209e-08,0.05121346018334712,0.05121346018334712,1.1251578646878195
geom_only,lower,0.03994006466963772,7.411457389584413e-08,8.32579461726772e-08,0.0505220773214851,0.0505220773214851,1.1233680745393284
geom_only,lower,0.04025948719463554,7.380245552474506e-08,8.265225038257569e-08,0.04918387092593067,0.04918387092593067,1.1199119296899736
geom_only,lower,0.040581464316134866,7.349165157633584e-08,8.201674403996175e-08,0.047664516977106546,0.047664516977106546,1.1160008284039022
geom_only,lower,0.04090601646464007,7.318215651519413e-08,8.138608716859418e-08,0.04614496620349942,0.04614496620349942,1.1121028819599863
