model,mass_GeV,coupling_GeV_inv,coupling_squared_GeV_inv2,ctau_m,unit_coupling_ctau_m,yield_per_PoT_per_coupling_squared,N_LLP_total,epsilon_polar,epsilon_azimuthal,mean_P_decay,sum_P_decay,visible_Br,sampled_inside_volume,N_events,N_events_gt_3,N_events_gt_10,N_events_gt_30,N_events_gt_100,log10_N_events
ALP-SU2L,4.8824,1.7029198821286418e-08,2.899936124949027e-16,217869.7328150628,6.318083087233931e-11,2.5316571473316e-09,0.0004404986410519,0.8750508708994431,0.77053,1.484508263937087e-05,1.1438581526114435,1.0,77053,4.409100987752479e-09,False,False,False,False,-8.355649953811154
ALP-SU2L,4.8824,2.0335691961968123e-08,4.1354036757205484e-16,152780.32285767296,6.318083087233931e-11,2.5316571473316e-09,0.0006281654563643,0.8750508708994431,0.77053,2.116938833153581e-05,1.6311648791098283,1.0,77053,8.966133762862817e-09,False,False,False,False,-8.04739478632235
ALP-SU2L,4.8824,2.428419398422494e-08,5.897220774634668e-16,107136.62127776342,6.318083087233931e-11,2.5316571473316e-09,0.0008957844674097,0.8750508708994431,0.77053,3.0187864109929177e-05,2.326065493262373,1.0,77053,1.8233026689814888e-08,False,False,False,False,-7.739141232300738
ALP-SU2L,4.8824,2.8999361249490213e-08,8.409629528784345e-16,75129.14885975057,6.318083087233931e-11,2.5316571473316e-09,0.0012774179221774,0.8750508708994431,0.77053,4.3048117274966775e-05,3.316986580388015,1.0,77053,3.707746391294895e-08,False,False,False,False,-7.430889979119748
ALP-SU2L,4.8824,3.463005415887905e-08,1.1992406510468965e-15,52684.03036303396,6.318083087233931e-11,2.5316571473316e-09,0.001821639699356,0.8750508708994431,0.77053,6.138646954217157e-05,4.730011637632946,1.0,77053,7.539768178184196e-08,False,False,False,False,-7.122642006979448
ALP-SU2L,4.8824,4.1354036757205413e-08,1.7101563561162958e-15,36944.47624416093,6.318083087233931e-11,2.5316571473316e-09,0.0025977177372098,0.8750508708994431,0.77053,8.75359547509312e-05,6.7449079214235015,1.0,77053,1.533208740310869e-07,False,False,False,False,-6.814398713642861
ALP-SU2L,4.8824,4.9383588840787775e-08,2.4387388467959788e-15,25907.17368337592,6.318083087233931e-11,2.5316571473316e-09,0.0037044303791797,0.8750508708994431,0.77053,0.0001248227127884,9.617964488485162,1.0,77053,3.11772573407271e-07,False,False,False,False,-6.506162092295921
ALP-SU2L,4.8824,5.89722077463468e-08,3.4777212864782853e-15,18167.30717265712,6.318083087233931e-11,2.5316571473316e-09,0.0052826387708039,0.8750508708994431,0.77053,0.0001779882146198,13.714525901100725,1.0,77053,6.339646100731363e-07,False,False,False,False,-6.197934985144979
ALP-SU2L,4.8824,7.042261140012375e-08,4.95934419641284e-15,12739.75517126616,6.318083087233931e-11,2.5316571473316e-09,0.0075332155085556,0.8750508708994431,0.77053,0.0002537904697106,19.555317062615256,1.0,77053,1.289076095663968e-06,False,False,False,False,-5.889721444980569
ALP-SU2L,4.8824,8.409629528784347e-08,7.072186881140162e-15,8933.704939391171,6.318083087233931e-11,2.5316571473316e-09,0.0107426114789419,0.8750508708994431,0.77053,0.0003618595397869,27.88236311920347,1.0,77053,2.6210345717102296e-06,False,False,False,False,-5.581527250627622
ALP-SU2L,4.8824,1.0042494506427469e-07,1.0085169591162588e-14,6264.726666342159,6.318083087233931e-11,2.5316571473316e-09,0.0153193150065108,0.8750508708994431,0.77053,0.000515913815776,39.75270724699367,1.0,77053,5.3289219366978805e-06,False,False,False,False,-5.273360641686216
ALP-SU2L,4.8824,1.1992406510468965e-07,1.4381781391233842e-14,4393.115786814146,6.318083087233931e-11,2.5316571473316e-09,0.0218458437902866,0.8750508708994431,0.77052,0.0007354873741994,56.67077315681943,1.0,77052,1.0833312298608848e-05,False,False,False,False,-4.965238736996817
ALP-SU2L,4.8824,1.4320925325902986e-07,2.0508890219008948e-14,3080.6557642879807,6.318083087233931e-11,2.5316571473316e-09,0.0311528871040758,0.8750508708994431,0.77052,0.0010483756845692,80.77944324742866,1.0,77052,2.2020767836135463e-05,False,False,False,False,-4.657167541804649
ALP-SU2L,4.8824,1.710156356116296e-07,2.9246347623649674e-14,2160.2981570679603,6.318083087233931e-11,2.5316571473316e-09,0.0444250349968543,0.8750508708994431,0.7705,0.0014940979427181,115.12024648643416,1.0,77050,4.4752035216516966e-05,False,False,False,False,-4.349187209215018
ALP-SU2L,4.8824,2.0422107481246565e-07,4.1706247397558696e-14,1514.9008797189852,6.318083087233931e-11,2.5316571473316e-09,0.0633515515874456,0.8750508708994431,0.77048,0.0021287431505892,164.01540226659668,1.0,77048,9.092330021304416e-05,False,False,False,False,-4.041324809217387
ALP-SU2L,4.8824,2.438738846795979e-07,5.947447162871782e-14,1062.318489632985,6.318083087233931e-11,2.5316571473316e-09,0.0903413827095683,0.8750508708994431,0.77047,0.0030318379134455,233.59401571723603,1.0,77047,0.0001846637911509,False,False,False,False,-3.733618252610473
ALP-SU2L,4.8824,2.912259260379105e-07,8.481253999663847e-14,744.9468070976706,6.318083087233931e-11,2.5316571473316e-09,0.1288297638395021,0.8750508708994431,0.77048,0.0043158086105649,332.524421826808,1.0,77048,0.0003748634165359,False,False,False,False,-3.426126940938355
