model,mass_GeV,event_level,status,number_of_crossings,maximum_N_events,peak_coupling_GeV_inv,lower_coupling_GeV_inv,upper_coupling_GeV_inv,is_interpolated
ALP-SU2L,0.2119126199960044,10.0,resolved,2.0,186815198.98007843,0.0035372127755151,2.9002146473367582e-05,0.021138702560415213,False
ALP-SU2L,0.2406652326839314,10.0,resolved,2.0,110582935.22280183,0.0029620776976802,2.5482599390267184e-05,0.015914393183767653,False
ALP-SU2L,0.2733190417064491,10.0,resolved,2.0,67332060.37985191,0.0020771457381152,2.2456315864028482e-05,0.012157195457195784,False
ALP-SU2L,0.310403367059838,10.0,resolved,2.0,40484630.36083242,0.0017394110719863,1.9752175053009733e-05,0.009204873852251525,False
ALP-SU2L,0.352519347647819,10.0,resolved,2.0,24354986.624062408,0.0012197554094669,1.737844353607012e-05,0.007008835611921186,False
ALP-SU2L,0.4003496857754375,10.0,resolved,2.0,14775301.41998152,0.0010214286005117,1.52305735195703e-05,0.005298652381552794,False
ALP-SU2L,0.454669713790057,10.0,resolved,2.0,8788339.056668513,0.0007162729276155,1.3432219393973401e-05,0.004016909675804548,False
ALP-SU2L,0.5163599622603116,10.0,resolved,2.0,5369500.550807316,0.0005998101327204,1.1805879141629148e-05,0.003067087626409355,False
ALP-SU2L,0.5864204334238656,10.0,resolved,2.0,3182107.0982884234,0.0005022836707116,1.0364371625293006e-05,0.0023289914698197962,False
ALP-SU2L,0.6659868112773437,10.0,resolved,2.0,1966519.143025233,0.0003522245168519,9.081201494951219e-06,0.0017759958786932224,False
ALP-SU2L,0.7563488710748492,10.0,resolved,2.0,1180340.4607206637,0.0002949543757066,7.976578218714208e-06,0.0013482149526798954,False
ALP-SU2L,0.8589713866540342,10.0,resolved,2.0,718474.5158350962,0.0002068356359852,6.975347286823893e-06,0.0010097501282427808,False
ALP-SU2L,0.9755178744986028,10.0,resolved,2.0,438709.07946568006,0.0001732050807568,6.0977240653462785e-06,0.000764280609746368,False
ALP-SU2L,1.1078775594297636,10.0,resolved,2.0,264018.239634504,0.0001214594051992,5.315515053316631e-06,0.0005777506536726006,False
ALP-SU2L,1.2581959990419505,10.0,resolved,2.0,163351.4816820307,0.0001017106456825,4.620063387151362e-06,0.00043380534581122313,False
ALP-SU2L,1.428909863306546,10.0,resolved,2.0,99863.88772710793,7.132420407669372e-05,3.98511755277508e-06,0.0003285365373549056,False
ALP-SU2L,1.622786433122852,10.0,resolved,2.0,63314.13606004968,5.972720546040737e-05,3.4163833618481766e-06,0.0002481550455441864,False
ALP-SU2L,1.8429684580899512,10.0,resolved,2.0,38961.97593375949,5.001582728177121e-05,2.9207518270857277e-06,0.00018555061152891186,False
ALP-SU2L,2.093025100646328,10.0,resolved,2.0,25586.14665915232,3.507340896492948e-05,2.4840135302881106e-06,0.00013957442580016404,False
ALP-SU2L,2.3770097923844964,10.0,resolved,2.0,16476.62401942559,2.4595094858493616e-05,2.109337778332815e-06,0.00010460472155188087,False
ALP-SU2L,2.699525940394606,10.0,resolved,2.0,11052.615356424529,2.0596041735732136e-05,1.8071239398826377e-06,7.812926346141487e-05,False
ALP-SU2L,3.065801548740353,10.0,resolved,2.0,6705.259506067724,1.7247216878837446e-05,1.5946677516852223e-06,5.866105572825938e-05,False
ALP-SU2L,3.4817739646853774,10.0,resolved,2.0,3451.655891628712,1.2094545346424157e-05,1.509815466388461e-06,4.2925983611209944e-05,False
ALP-SU2L,3.9541861234109583,10.0,resolved,2.0,1349.6664382656768,1.012802602156392e-05,1.5527086694247667e-06,3.109946619720705e-05,False
ALP-SU2L,4.3,10.0,resolved,2.0,669.3042620099237,8.481253999663866e-06,1.6289759132376094e-06,2.5155597829084968e-05,False
ALP-SU2L,4.323529411764706,10.0,resolved,2.0,634.5985318832148,8.481253999663866e-06,1.638911092838766e-06,2.4707406046311502e-05,False
ALP-SU2L,4.347058823529411,10.0,resolved,2.0,596.597020463999,8.481253999663866e-06,1.6517070613264093e-06,2.433570217662256e-05,False
ALP-SU2L,4.370588235294117,10.0,resolved,2.0,567.5063081537569,8.481253999663866e-06,1.6572686387486278e-06,2.396847404481717e-05,False
ALP-SU2L,4.394117647058823,10.0,resolved,2.0,537.4759939112166,8.481253999663866e-06,1.6662257859330412e-06,2.359910419872091e-05,False
ALP-SU2L,4.417647058823529,10.0,resolved,2.0,521.1727979287488,8.481253999663866e-06,1.6673025907630056e-06,2.3288346529235684e-05,False
ALP-SU2L,4.441176470588236,10.0,resolved,2.0,498.313201631397,8.481253999663866e-06,1.6736015340828087e-06,2.2930512524729907e-05,False
ALP-SU2L,4.464705882352941,10.0,resolved,2.0,471.3605187354904,8.481253999663866e-06,1.6842946256265437e-06,2.2578804092756385e-05,False
ALP-SU2L,4.488235294117647,10.0,resolved,2.0,438.26190291283,8.481253999663866e-06,1.6988856933372811e-06,2.2196219348940045e-05,False
ALP-SU2L,4.490695851357099,10.0,resolved,2.0,435.9620840288098,8.481253999663866e-06,1.7022808834843516e-06,2.2199284952089928e-05,False
ALP-SU2L,4.511764705882353,10.0,resolved,2.0,409.3051972055839,8.481253999663866e-06,1.7191082545769292e-06,2.183533389261824e-05,False
ALP-SU2L,4.535294117647059,10.0,resolved,2.0,384.0693413531882,8.481253999663866e-06,1.7325024245055417e-06,2.1561702976548374e-05,False
ALP-SU2L,4.5588235294117645,10.0,resolved,2.0,360.7717196099968,8.481253999663866e-06,1.7426259629351212e-06,2.1200011581112602e-05,False
ALP-SU2L,4.58235294117647,10.0,resolved,2.0,339.4502187719325,8.481253999663866e-06,1.757711707671596e-06,2.0913862155102855e-05,False
ALP-SU2L,4.605882352941176,10.0,resolved,2.0,318.8245412618569,7.102239790227848e-06,1.7760876649588093e-06,2.0667690205786503e-05,False
ALP-SU2L,4.629411764705882,10.0,resolved,2.0,298.63679975619624,7.102239790227848e-06,1.7951811995505253e-06,2.0256491222303486e-05,False
ALP-SU2L,4.652941176470588,10.0,resolved,2.0,277.93754989229683,7.102239790227848e-06,1.8198572491121789e-06,1.9911103416328794e-05,False
ALP-SU2L,4.6764705882352935,10.0,resolved,2.0,252.36178611980435,7.102239790227848e-06,1.854170565067268e-06,1.9438707975069506e-05,False
ALP-SU2L,4.699999999999999,10.0,resolved,2.0,225.27850073587845,7.102239790227848e-06,1.8990888640016246e-06,1.9006785439698213e-05,False
