model,plot_label,mass_GeV,ctau_m,weighted_mean_energy_GeV,weighted_median_energy_GeV,energy_q16_GeV,energy_q84_GeV,fraction_below_1_GeV,effective_sample_size,accepted_samples,normalization,range_coverage,N_LLP_total,epsilon_polar,epsilon_azimuthal,mean_P_decay,visible_Br,N_events,N_events_primary,N_events_cascade,cascade_event_fraction,reference_ctau_m,is_reference,weighted_mean_gamma,ctau_times_weighted_mean_gamma_m,N_events_ge_10,total_variation_distance_to_reference,binned_cdf_max_distance_to_reference,nonempty_bins_with_low_N_eff
ALP-photon-combined,"ALP-photon, primary + cascade",0.3,100.0,4.957343993093211,2.9347026027160936,1.5842974995307173,7.148600943433286,0.029155640437847737,728048.8155900175,1707154,1.0,1.0,24381.443959004602,,,,0.9999999999999996,485.0172564947921,69.03569589680139,415.9815605979907,0.8576634233682309,1000.0,False,16.52447997697737,1652.447997697737,True,0.016767257470983867,0.016767257470983732,2
ALP-photon-combined,"ALP-photon, primary + cascade",0.3,1000.0,4.807347504825368,2.844687993254705,1.5403216528541739,6.902774741373612,0.03358357468994651,686100.3688188714,1707773,1.0000000000000042,1.0,2438.1443959004605,,,,0.9999999999999996,5.1651821189445855,0.7118767001702881,4.453305418774297,0.8621778121705905,1000.0,True,16.02449168275123,16024.49168275123,False,0.0,0.0,2
ALP-SU2L,ALP-$SU(2)_L$,1.0,0.01,243.67942086260527,244.79626611696264,209.78959431588885,277.1458228027633,0.0,8177.768559787557,543938,1.0000000000000002,1.0,292273998.82368255,0.022508338361747558,0.543938,7.429147109903746e-08,1.0,0.26584100798301596,,,0.0,1000.0,False,243.67942086260527,2.436794208626053,False,0.9840929488517963,0.9840929488517965,1
ALP-SU2L,ALP-$SU(2)_L$,1.0,0.1,124.22239479272095,120.32083054730565,87.83566887726435,160.56041421569626,0.0,222308.62636597012,542132,0.9999999999999984,1.0,29227399.882368255,0.327827178838694,0.542132,0.03173242703078311,1.0,164832.73726524808,,,0.0,1000.0,False,124.22239479272095,12.422239479272095,True,0.613792763164329,0.6137927631643292,1
ALP-SU2L,ALP-$SU(2)_L$,1.0,1.0,80.05410893746568,74.61985894151185,50.24498074141972,110.11076025750076,0.0,592097.128366592,601233,0.9999999999999998,1.0,2922739.9882368254,0.32942981570160046,0.601233,0.2991168434737103,1.0,173155.68858238068,,,0.0,1000.0,False,80.05410893746568,80.05410893746568,True,0.1612123503966486,0.16121235039664866,3
ALP-SU2L,ALP-$SU(2)_L$,1.0,10.0,70.79809622651355,65.56418072767312,42.87361146021091,99.53611742488908,0.0,516591.4072794564,610517,0.9999999999999969,1.0,292273.99882368254,0.3294713955042489,0.610517,0.06510106531360087,1.0,3827.3110020185036,,,0.0,1000.0,False,70.79809622651355,707.9809622651355,True,0.04174664542978651,0.041746645429786566,7
ALP-SU2L,ALP-$SU(2)_L$,1.0,100.0,67.86414434054637,63.50065533754022,40.15442910218603,97.57220902899059,0.0,336515.5290609404,611444,1.0000000000000004,1.0,29227.399882368256,0.3294713955042489,0.611444,0.0073093646024173665,1.0,43.03722001149918,,,0.0,1000.0,False,67.86414434054637,6786.414434054637,True,0.007132339299305849,0.007132339299305929,7
ALP-SU2L,ALP-$SU(2)_L$,1.0,1000.0,67.30131147245515,63.13582336273203,39.569297641911156,97.24866145170286,0.0,283210.35204106825,611534,0.9999999999999916,1.0,2922.7399882368254,0.3294713955042489,0.611534,0.0007426801571426119,1.0,0.43735120299858776,,,0.0,1000.0,True,67.30131147245515,67301.31147245516,False,0.0,0.0,7
ALP-photon-combined,"ALP-photon, primary + cascade",1.0,0.01,304.1170923072903,307.1942023395169,267.20479089267485,340.9874278064203,0.0,141436.1343908375,1983858,1.0,1.0,410276.7264818366,,,,0.9999999999999997,0.02179929634360802,0.02179182514849175,7.471195116267765e-06,0.0003427264347667105,1000.0,False,304.1170923072903,3.041170923072903,False,0.9985844068322168,0.9985844068322168,0
ALP-photon-combined,"ALP-photon, primary + cascade",1.0,0.1,149.3007253756873,137.48012626897335,88.1315612739514,214.85077665541127,0.0,171428.87649103563,1937151,0.9999999999999984,1.0,41027.67264818366,,,,0.9999999999999997,380.3285910599438,359.0756188335511,21.252972226392668,0.05588055362117905,1000.0,False,149.3007253756873,14.930072537568732,True,0.9104579661000333,0.9104579661000333,0
ALP-photon-combined,"ALP-photon, primary + cascade",1.0,1.0,50.177279530439456,40.67396425243652,22.68618715596211,76.36920328939216,0.0,1277783.3205773726,1868266,0.9999999999999992,1.0,4102.767264818366,,,,0.9999999999999997,829.0936990031194,640.0921516746109,189.00154732850837,0.2279616255144128,1000.0,False,50.177279530439456,50.177279530439456,True,0.45902526369481866,0.4590252636948187,0
ALP-photon-combined,"ALP-photon, primary + cascade",1.0,10.0,28.224367805785576,21.26673049747243,11.325636977588713,43.778085513660365,0.0,1411420.703008196,1890666,1.0000000000000044,1.0,410.2767264818366,,,,0.9999999999999997,50.876159065811315,31.645601423697844,19.23055764211347,0.3779876074614361,1000.0,False,28.224367805785576,282.24367805785573,True,0.0877091953779351,0.08770919537793509,4
